People  LS,CLAUDIA,SANDY
Title   Interviewed 1/30/20<br>by Lydia Strohl <https://d1q40j6jx1d8h6.cloudfront.net/Obituaries/23112665/Thumbnail.jpg>
Speaker 2    01:11:15    No, that was after I'd been working in New York. Mm-hmm <affirmative>. When I, we got married in New York, in Saratoga, and I was working for the New York Racing Association at the time. I got, I had gotten that job in March. And, uh, they told me when they hired me that they had just hired somebody else two weeks ahead of me, and they worked on a seniority program there. So they said, look, it's a possibility after, after Saratoga meet you, you, you may, you're the bottom man, so you're the, you're the one that gets dropped. Anyway, I was New York working for the New York Race Association, and then, um, my, uh, we got married in Saratoga in 1962, and that was the last meet of my tenure there.  
Speaker 2    01:12:16    I came, I had rented a house in Long Island before we were married. Uh, so when we came back from Saratoga, at least, we had a place to live. And I got a job in New York with what is known as the Jockey Club, which is the ruling body overall race, hand breeding. And I was there from, let's see, we got married in August of 62. I was there from August, well, September of 62 until January of 65. Um, and we moved once when she was born. Um, and then I'm, I moved back down here. Well, actually, just to go back, I, I was, they were considered me for another post up there. And my mother came up one weekend and pulled out the crying towel and said, you gotta come back home. The place is going to hell in a handbag. Well, it really wasn't, but my father had a little problem and she, she wanted somebody to run the place. So it was, it was basically another hunter bar. Like my father started a hundred years before. And, uh, they said, we'll build you a house. So that's what they did. We went across the street, I tell you, living in New York and building a house in Virginia and not having any control, you know, so it was a good project. <laugh>. Well, it was a challenge, I can tell you that. It turned out well, though. Yeah, it out pretty good. I don't how that was got done. But anyway, you had a lot of chief,  
Speaker 2    01:14:16    Uh, Ms. Skinner, Ms. Jack Skinner gave us the plans. She'd just built tags. Mm-hmm <affirmative>. And she gave us the plans, and we just, uh, had an architect pitched the roof and put it upstairs. The bedrooms and bathrooms there.  
Speaker 2    01:14:30    Yeah. We had a little bit here and there,  
Speaker 2    01:14:32    So,  
Speaker 2    01:14:32    So that's how I came back. Mm-hmm <affirmative>.  
Speaker 1    01:14:35    And then once you came back, you worked  
Speaker 2    01:14:36    In, so I was, I was actually working for the family. Mm-hmm  
Speaker 2    01:14:40    <affirmative>. And then Lee  
Speaker 2    01:14:41    Advertising, and then I bought into Lee Advertising, which is fun. And Lee's mother, uh, she had a partner and her partner wanted to quit. So, and I had been working in the same type of business in New York for the Jockey Club registration work and advertising work and stuff like that. So I had been doing some work for her on, as freelance registering horses at different farms. And then she said, would you, would you like to take over the so and so's? Can't remember girl's name now. And the partnership. And so I bought into it. So I was doing farm work first thing in the morning, advertising work till about three 30 or four back on the farm, make it hay. And, uh, so that's, that wasn't until 1977. And I sold out, uh, the Lee advertising thing 'cause mm-hmm <affirmative>. They had, we had moved from a old house up here, uh, Hitcher Post, uh, back to that where popcorn is now.  
Speaker 1    01:16:02    Oh yeah.  
Speaker 2    01:16:03    Uh, and we moved in there and I was there until 77. And I've been fiddling with horses and retired ever since. <laugh>.  
Speaker 1    01:16:14    And what, um, your barn did? Hunters. Huh? Your barn. Barn Did Hunters  
Speaker 2    01:16:22    Your barn?  
Speaker 2    01:16:22    Oh, yeah. But, but, well, at first, uh, and then when my, uh,  
Speaker 2    01:16:35    I'm trying to think. When my father died, I built a barn on my side of the road, and I still did. I had a couple hunters, but what I was really getting into was commercial breeding and selling at sales. Not high rent sales, unfortunately, but sales, that's what it is. Right. So for the last 50 or 20 years, I was, I was mainly in the breeding business, and I stopped riding really, uh, about when I was about 56, uh, just because I was getting involved in the breeding business and selling s and raising 'em there and folding 'em there. And I had, you know, a couple guys working for me. And, uh, I did the same thing over at the other farm. Uh, I, I got the family into the breeding business, got into the cattle, also got into the cattle businesses. So that's what I did the last 20 years. Mm-hmm <affirmative>. Until I hung up my tax, so to speak.  
Speaker 1    01:17:42    And what were your horses? Was, uh, a specialty?  
Speaker 2    01:17:47    No, not really. They were thoroughbreds. Mm-hmm <affirmative>. But, uh, they were fox hunters, and then they were brood mares. And then, uh, I had a couple horses that I kept after. Uh, they were fold. I had 'em broken and then put 'em on the racetrack. And so I got into the racing business on a small way. Mm-hmm <affirmative>. Until when everything went lame and a heartbeat. So when I looked up one day and all was, there was an old retired bird, ma had bone ships, and, uh, she was too old to breed anymore. So I said, that's it, <laugh>.  
Speaker 2    01:18:26    But then I started renting the barn out, so that's where I got some other, that's where we got some other income. Mm-hmm <affirmative>. Started off small and ended up renting out pasture. Uh, I also sold a big chunk of the farm in 2006, which helped me be able to do some of that stuff. Mm-hmm <affirmative>. And then, uh, but I've been, barn has been empty and a now for three years. It's not that I didn't, wouldn't want to put somebody in there, but I got some maintenance I gotta do before that. And right now I've got a few other things. <laugh> on the docket. Keeping  
Speaker 1    01:19:08    You busy. Yeah. Was there a, a certain time when the horse business changed so that it, it wasn't as easy to be in?  
Speaker 2    01:19:26    Well, I think you got it in different levels. Uh, I'm sure Louis told you a lot about this because, and I worked a lot with him. Uh, not only were we good friends, but we came business partner, uh, on, we would, we would buy horses in Kentucky and bring them back here and then sell 'em as either yearlings or, uh, or as two year olds. And we did quite a bit of that off and on. Um, he also sold stuff for me, uh, that I had raised as a nation, uh, when he was heavy into that. Um, so to answer your question, I, I can't really put a, a time when you can always get in it. So whether you could stay in it and, and say if you're at different levels, if you at the king in Saratoga level, you know, you, you pretty much got a hold on everything. Mm-hmm <affirmative>. So I sold most of my stuff in Pennsylvania and Maryland. I had two or three that we sold in Kentucky. Two, the partnership and one of my own mm-hmm <affirmative>. But, uh, I liked all that. I really did. It's just when I, when I ran out of stock, uh, I didn't have the wherewithal to get back into it.  
Speaker 1    01:20:56    And is there still as much interest here, do you think, in, in terms of the business? Or how has the business changed here since you were in it?  
Speaker 2    01:21:03    I think, yeah, there's a lot of interest here. It's just some new people can't quite get ahold of it. A lot of people come in here and they build, buy these places, and then there's some nice farms, and then they find out what's involved. If they're not already acquainted with a horse business, I'm talking about complete ne neo flights. Mm-hmm <affirmative>. Um, they don't usually buy real big places, but they buy, you know, big enough to where they find out that, my God, we got plow snow. We can't call the state or the city or the town or wherever. But interest wise and everything else, it may, I mean, I've got two people next to me that are pretty heavy in the horse business. Uh, one very successful. Uh, so, um, yes, I would say that, uh, there's still a lot of interest in, in that business.  
Speaker 1    01:22:09    And has the, uh, emphasis changed in the horse business here?  
Speaker 2    01:22:15    I, yeah. It's changed a little bit. Uh, some of the new people, uh, got into it because they lived somewhere and they, you know, they went to the races and they saw something mm-hmm <affirmative>. So they decided, so, uh, it may, that it may not be as many or, or as big mm-hmm <affirmative>. Like got, don't have Paul Miller anymore. Don't have Steve Clark anymore. So some of that era of people haven't really been replaced.  
Speaker 1    01:22:53    Replaced. Right.  
Speaker 2    01:22:53    Uh, in great numbers. Mm-hmm <affirmative>. Here and there.  
Speaker 1    01:22:57    So when you were coming into the drug store and declaring your love, was that, um, you would, would set times that you would come back? Uh, no.  
Speaker 2    01:23:09    That's, I was like, fif 14, 15 years old.  
Speaker 1    01:23:12    So you would be at school and then come here in the summer?  
Speaker 2    01:23:15    Yeah. Um, exactly Right. Come back here. Uh, work on the farm this summer. Sometimes I had summer school. Sometimes, uh,  
Speaker 2    01:23:29    You worked for Darlington.  
Speaker 2    01:23:30    I also, I worked, uh, I worked at, uh, the Middleburg training center for, uh, a couple different trainers. Uh, Jack Skinner being one of 'em, Sidney Waters being unknown. Uh, I did that on, uh, summer, some summers. Um, other summers. I was in summer school, <laugh>, um, I guess more or less until I got out of college. Well, got outta the Army and then got outta college permanently. Then I started, you know, going to New York and stuff  
Speaker 1    01:24:19    Like that. Right.  
Speaker 2    01:24:22    But basically when I was in school, I'd be, I'd come home for vacations in the summertime. Mm-hmm  
Speaker 1    01:24:28    <affirmative>. And what else would you do in the, uh, days that you didn't have school or the evenings besides go to the movies? What kinds of things did you guys do socially?  
Speaker 2    01:24:40    A lot of dances.  
Speaker 1    01:24:41    You were there?  
Speaker 2    01:24:43    Uh,  
Speaker 2    01:24:44    A  
Speaker 2    01:24:44    Lot. I thought there were a lot, but there  
Speaker 2    01:24:48    Were quite a few  
Speaker 2    01:24:50    Wonderful pictures of us dancing together. Huh. We have wonderful pictures of us dancing together. Oh,  
Speaker 2    01:24:55    We do have that.  
Speaker 1    01:24:57    And where were those?  
Speaker 2    01:24:58    Community center mostly. And, uh, what was the old man that used to drive us? He called it, man,  
Speaker 2    01:25:08    I drove. You didn't drive me.  
Speaker 2    01:25:11    He lived on the back street.  
Speaker 2    01:25:15    Had that wonderful car.  
Speaker 2    01:25:19    You probably rode ponies and stuff like that. Uhhuh. <affirmative>. Yeah. I rode ponies. Mm-hmm <affirmative>. Had a pony car that Steve Clark, uh, Jane Clark gave to us. And, uh, it was a basket cart. Loved it. And the pony was strictly for driving. Used to have loads you all up, drive around the fields and on the back rows. And I was driving one day and Che Lee's wife came by and she said, that's my car. I'm taking it. And she took it right then and there, plus the reins. And Jane Clark had given it to us. I don't know whether it was hers or not, but anyway, she took it. Well,  
Speaker 2    01:25:57    She wouldn't have given it to you otherwise. 'cause she's too, too nice a lady. <laugh>.  
Speaker 2    01:26:01    Exactly.  
Speaker 2    01:26:03    Exactly. All girls and boys.  
Speaker 2    01:26:04    All right. We're coming down the street now we got,  
Speaker 1    01:26:07    Thank you very much. Goodbye.  
Speaker 2    01:26:10    You can handle that the rest of the streets.  
Speaker 1    01:26:12    Pleasure to meet you.  
Speaker 2    01:26:13    Thank you. Nice to meet you so much. I hope this was, uh, somewhat, it was informative.  
Speaker 1    01:26:18    It was perfect.  
Speaker 2    01:26:19    Yes. We got carried away in different streets,  
Speaker 1    01:26:22    <laugh>, different  
Speaker 2    01:26:23    Areas. Bye, honey. Thank  
Speaker 1    01:26:24    You very much. Thank you. I'll, some more Ill loves. Okay. Mom, do you want anything? No, I'm fine. I'm gonna take a minute and change the battery in this, if you don't mind. Okay. Thank you, dad. One second. I'm gonna have  
Speaker 2    01:26:40    You learned a lot.  
Speaker 1    01:26:41    I have learned so much. So interesting to talk to everyone.  
Speaker 2    01:26:47    How many more people do you have to talk to?  
Speaker 1    01:26:49    Oh, I'm just gonna keep talking. As long as people,  
Speaker 2    01:26:52    Lewis's godfather to our middle child. Is he, and he's a wonderful godfather. And he gives me the most beautiful caviar. Gives me a great Big 10 at Beluga caviar every Christmas. He's been doing that for years. And I, in turn, make him stuffed Cavage sleeve, which he loves  
Speaker 1    01:27:08    <laugh>. I had so much fun talking to him.  
Speaker 2    01:27:11    Yeah. He's a hoot. We've known Louis. He and Sandy owned a model, a, um, car together and had no floorboards in it and had a piece of plywood. And I'd have to sit there and hold my feet on the plywood so it wouldn't fly up. And water wouldn't come in when we'd go rebuttals.  
Speaker 1    01:27:33    Oh, he was telling us stories about monkeys and  
Speaker 2    01:27:36    Oh, yeah. Bears,  
Speaker 1    01:27:38    Monkeys and bears and all sorts of,  
Speaker 2    01:27:40    And I would sometimes have to ride in the rumble seat when all three of us were riding around. He was my first date  
Speaker 1    01:27:49    <laugh>  
Speaker 2    01:27:49    I living here. When I was living here. We were 14, I guess. 1314. He came to take me to the movies and one of the Huff Brothers, uh, drove him. And we went up there and went to the movies. And when he came home, Tommy me, I said, well, Louis, aren't you gonna walk her to the door and kiss her good nineties? I'd rather kiss a horse's ass.  
Speaker 1    01:28:15    <laugh>. Nice.  
Speaker 2    01:28:18    And we've been best friends ever since. He's a good kid. He was a kid.  
Speaker 1    01:28:29    Um, now coming back across from the millwork, there's that big three story, the Middleburg House.  
Speaker 2    01:28:39    Yes. What was  
Speaker 1    01:28:40    That?  
Speaker 2    01:28:41    Um, now let me see. The Downs has lived there. Mm-hmm <affirmative>. Before they sold it. And then next to that,  
Speaker 1    01:28:51    <affirmative>,  
Speaker 2    01:28:54    I think the brittle banks lived there until they bought a house in Ridgeview. No, they lived, brittle banks. Lived on the Plains Road, who lived there next to the Downs'  
Speaker 1    01:29:06    Where the restaurant is now. Mm-hmm <affirmative>. That was a individual residence. Mm-hmm <affirmative>. That's a big house.  
Speaker 2    01:29:16    Can't remember who lived there, who come to me. And then on the corner where the Tom Hayes had his shop was a residence. Can't remember who lived there. Then next to that was the firehouse. They had, uh, weekly poker games there next  
Speaker 1    01:29:43    To that. On this way or going,  
Speaker 2    01:29:47    Going down the side  
Speaker 1    01:29:48    Street. Down the side street. Okay.  
Speaker 2    01:29:51    Um,  
Speaker 1    01:29:51    So by where the Mexican restaurant is or it's not, is it? It's a Thai restaurant now. It was a Mexican  
Speaker 2    01:29:58    Restaurant. Yeah. And next to that was, uh, private residence. Can't remember who lived there. And then next to that was the jail down in the basement. Mm-hmm <affirmative>.  
Speaker 1    01:30:12    On the corner here. Yeah.  
Speaker 2    01:30:13    And then next to that was the Middleburg Drugstore Pharmacy. Mr. Lenoi ran that. He was the original owner. And then, um, what, what was his name? Kathy that took it over after that? Um, nice man. I'm  
Speaker 0    01:30:33    Sorry, which one?  
Speaker 2    01:30:33    Middleburg Drugstore. Middleburg Pharmacy.  
Speaker 1    01:30:39    I can't remember. I thought it was the Phelps. Not the Phelps.  
Speaker 2    01:30:43    Yeah. Mr. Phelps took it over after that. That's right. And then there was the, the barbershop owned by, uh, cutter Glass. The kids had to sit on a board on, would pressed on the arms of the chair. And I mean, it was a big deal when you got to take that board away. Mm-hmm <affirmative>. Everybody met there and gossiped. Uh, he was a great guy. And they lived on the corner there across from, uh, pun and Lee's the house on the corner. Mm-hmm <affirmative>. And Galen Glass, the son, they only had one child. We see him from time to time. Nice young man. Older man. Now. And next to Middleburg Pharmacy, next to the barber shop was the old post office where you, um, had boxes. It was a small building, not very many people. And over top of that was a hairdresser. Oh. Now that this apartments, people live up there. Mm-hmm <affirmative>. Then the, uh, corner where the restaurant is  
Speaker 2    01:31:56    Now was, um, the bank. And Mr. Dawson was president of the bank and up over top the bank, the, uh, women of the town, knitted socks and mittens and hats for the people in the army. And wrapped bandages, which they mailed to mm-hmm <affirmative>. To the Army. And packed care packages for them. And wrote letters to, um, people in the Army. So they'd get mail. And this was during the war? World War ii. Yeah. The next to that, where the Shaggy Ram is, was um, sort of a department store, or five and 10, more like a five and Tencent store.  
Speaker 2    01:32:47    And then next to that was where the original Safeway was. Mm-hmm <affirmative>. Um, Mr. Boxwell, Wesley Boxwell father, I can't remember his first name, was the manager of the store. They didn't have a whole lot mm-hmm <affirmative>. It wasn't that big, but it was. So that's where the Christmas shop is. Yes. That and the store next to it, whatever that is. The, the, the Pet store. Pet store. That was all the safe way. That was all the Safeway. And then the New York Cafe, which was run by Mr. Ms. Deus, who's temp Deus is the mayor of Middleburg, his parents. And they lived up in, in Ridgeview in the brick house, uh, next to where Tim built his house. Mm-hmm <affirmative>. Next to, um, the sporting gallery. And next to the New York Cafe, which had swinging doors. We weren't allowed to go in, but my Uncle Campbell used to come and, uh, spend a week with us, or longer in the summer. And he'd go every afternoon and go up and have a beer at the New York Cafe. And he'd bring us back. Ice cream cones. Chocolate ice cream. Mm-hmm <affirmative>. And by the time he walked home, when we lived in this house, they'd be melted and be running down his arm. But we enjoyed him. Anyway. See, we had an Uncle Campbell. Did you know that Kathy? That what? We had an Uncle Campbell. Oh yeah.  
Speaker 1    01:34:22    That's, that's how we got Campbell. I'm sitting, you're texting with her. As a matter of fact, right now, she's done interview  
Speaker 2    01:34:27    And then coming down the street, um, let's see, uh, next to the New York Cafe was Poston. Herman Post's gas, Exxon gas station and country music used to stop there. They were playing for Maryland. Patsy Klein. Hmm. Um, Eddie Arnold. Um, and they would play there. Yeah. Play there. At the gas station. At the gas station. <laugh>, we'd all listen, dance tap our feet. Was that a organized kind of concert? No, no, no. Or they would just come, they'd just stop there. Mm-hmm <affirmative>. And start playing. And everybody enjoyed it. Eddie Arnold, um, do you know who else Eden came to town? Sadden Clark Gamer. When the old movie theater was, um, David Niman. Oh, really? Uh, among others. Anyway, get back to some of the country sayers. Um, can't think of his name tag on it. Not being a country music fan. One then, anyway, a lot of 'em came.  
Speaker 2    01:35:50    And then next to that was a jewelry store where this clothing store now. And on the corner was a BNA grocery. Mm-hmm <affirmative>. Uh, before Alice Edwards had it. And her sons worked there. Two of her sons, the other one worked in Charlottesville. Wesley. Her son Cut was a meat cutter. And, uh, her other son ran the, was sort of manager. And his Wesley's wife worked there, uh, with everybody charged. And she also delivered where you could just phone in your order. She had fill it, put it in a box. And even if you needed something from the liquor store, she'd send somebody in the liquor store pick up for you. And you charged it and you just drove up to the corner and beat your, and they'd bring it out and load in your car. Those were the good old days. Right. Then the church, which is right here, then, uh, us right here.  
Speaker 2    01:36:59    And then next door was, um, Charles Den, who had the later had, uh, the hardware store. Mm-hmm <affirmative>. And Charles, young Charles works at Mellons now. See him from time to time. We called him Bu in those days. And down here we sat on the other side of the fence and threw apples and called the Turners who lived on the corner niggers. And my mother and father found out about it and made us, made me go down and apologize. I was horrified. But I did it. And they had one of the first TVs in town, you put a quarter and you got to watch Audi duty and programs like that. So I became a constant visitor down there with a handful of quarters that I got stole from my mom. And, uh, watched tidy duty and programs like that. And so that was in their home, Uhhuh <affirmative>. And she would bake us cookies and give us orange juice and Pepsi Colas. Uh, then going down the street, let's see, where are we now? The, the Turners lived on the corner, which is the gun shop now. No, next to the gun shop then, uh, luck house. No.  
Speaker 2    01:38:48    Yeah, the Luck house. There are two lucks. I've forgotten what the first luck name was. And then the second luck was, uh, uh, Preston Luck. He later divorced his wife. They had three daughters stay in touch. One of 'em just died. Stay in touch with the oldest daughter from time to time. Get Christmas. Um, three daughters. Her mother, when she was having the youngest daughter came here and had the baby on the couch in this room. The little girl. I saw the whole thing. I was horrified. <laugh>. How old were you? Young. Yeah. And we had to throw the couch at Burn the couch. Uh, then they took her to the hospital. When my daddy met her, he was already at the hospital. Which hospital then? Was that be Leesburg? The original hospital. I had my tonsils out over there. And I had a private nurse. Dad had hired a private nurse. He had slept in the bed the night before. 'cause he was delivering a baby over there. And there was sand in the bed. I'll never forget that. And I looked out the window and there were horses grazing in the field, which was all well and good. Came home the amber, God had just opened up where the bank is now. And I went up and I got popcorn and I burst the stitches  
Speaker 2    01:40:23    And couldn't stitch it up again. Had ize it, which was a very uncomfortable and smell bad. Same day, the school bus  
Speaker 2    01:40:38    From the Baptist Church where they'd had bible school, had a little boy who had its head out of the window and a semi-truck came by and decaffeinated. And all the kids got to see that his head landed in the road and somebody ran over it. Now isn't that dreadful? Wait, he, he was where, he was in the school bus. Right. From Bible school. Baptist Bible School. And he had his head out the window just watching the traffic, looking around. And a truck came by semi and the mirror decapitated it. And his head rolled in the highway and a car ran over it. Can you imagine? And all kids on school bus. And that was right in the middle of Middleburg, outside of town. Can you imagine? Hmm. I can't,  
Speaker 5    01:41:30    I dunno. This is going dark now. <laugh>. Maybe it's a good breaking point. Film the water. Maybe it's a good  
Speaker 2    01:41:36    <laugh>. Then we came down the street after the luck house, uh, was the Episcopal minister, bill Dunbar. He had a daughter and a son. Sally and Bill, who I went to school with. Sally and I were good friends. Uh, I, one time my mother who was, uh, had gone, been educated, she went to William and Mary graduated at 17, then went on to nursing school, which her parents didn't want her to do. And she became a nurse, though she never practiced, as I said. And when she moved here, uh, and she went to a nursing school, Providence Hospital, which was the Catholic hospital then. Mm-hmm <affirmative>. She became Catholic. And I used to, in the, her bedroom was right in the room next door. I used to, um, go through her drawer of her dresser. She had two little side drawers up top of her dresser and all her beads in her car, prayer cards and stuff.  
Speaker 2    01:42:39    And I'd play with her beads and do all that. But there was no Catholic church. There was no Catholic church. So she went to the Baptist church. 'cause all her friends went there. My dad went to the Episcopal church. He was Episcopal, and Bill Dunbar was a minister. While we were in catechism class, myself and my brother. And I stayed one day when all my friends were being baptized, being dumped at the Baptist church. And I got dunked, came home all the way, changed clothes and went to Episcopal Church. When Bill Dunbar found out about it, he raised ca and kicked me outta catechism class, said I couldn't be baptized in the Episcopal church. I'd already been baptized in the Baptist church, so it couldn't be confirmed. So I never got confirmed. My brothers, my brother did. So iri, I die, I will die even, although it  
Speaker 5    01:43:37    Might not be for that sense. <laugh>. Yeah.  
Speaker 2    01:43:43    Although another friend, froggy de became minister next door. He was in service and his, uh, ship had been shot and sank. And he hung onto a board and he said, dear Lord, if you let me survive this, I will become a minister and preach the word. Good word. So he did. So he reinstated me in the Episcopal church. Oh,  
Speaker 1    01:44:15    Now  
Speaker 2    01:44:15    He was a forgiving soul. Your  
Speaker 1    01:44:17    Dad went to this, which, which Episcopal? Right there. Right  
Speaker 2    01:44:19    Here  
Speaker 1    01:44:19    Next door. Because there's another one down across from the Safeway.  
Speaker 2    01:44:24    No, that's not Episcopal church. That's Methodist.  
Speaker 1    01:44:26    It was a Methodist. Mm-hmm <affirmative>. Okay.  
Speaker 2    01:44:29    Although the Methodist and the Epi fans did join up from time to time for special occasions. Mm-hmm <affirmative>. So anyway, that's that. Um, froggy was a great man. Made the best cheese dip your put in your mouth.  
Speaker 1    01:44:47    Now, when you, you said you were born in dc was that because of, of the hospital? Or  
Speaker 2    01:44:52    Were your parents? Yeah, the doctor, your, my mother and father and, um, staff Hawkin, all pr interned together had Providence Hospital. It's Catholic hospital at the time, it's no longer. And when mother was pregnant, she said, I want Stafford to live my, my baby. And my father said, oh, my dead body. I mean, they were best friends and he'd been best man in their wedding. Mm-hmm <affirmative>. So he did, did deliver us. And when my youngest brother Stewart was born, mother's appendix ruptured while she was in labor. And in those days, they kept the incision open and sprinkled it with sulfur. Penicillin wasn't around. Mm-hmm <affirmative>. And she was in the hospital for three months. And Boo boo, my grandmother, um, took care of, of Stewart. And she barely let us see him. Couldn't hold him. Doc had polio and was isolated and the corner bedroom. And, uh, but he recovered. He got to come home Christmas. And he brought a stack of comic books. We were glad to see him, but we were rapier to see the comic books <laugh>. And he got to stay overnight. And then he had to go back to the hospital.  
Speaker 1    01:46:19    And that was, that was the hospital in dc. In DC  
Speaker 2    01:46:23    He was so always so sickly. Anyway, when I got pregnant, I went to Aver dog and died. My babies delivered. And every time he delivered one I'd get, I'd call and say, I haven't gotten a bill. And he said, your insurance company took it around. I said, well, they didn't come anywhere near your fee. And he said, well, it's a baby present <laugh>. So all three, my babies were baby presents from, instead of very often when I had the last one, I didn't go in, in time to have an epidural. And so afterwards, they, they said, you want an epidural? I said, I don't need it. I said, it's just kicking in now after. And he was so bad. We had an intern in the room with, and he said he picked up the after bird. And he said, does this look anything like a horse's Just shocked that bore into him, <laugh>.  
Speaker 2    01:47:16    And I said a little bit. I said, the horses is bigger. So he, I said, is there anything you want? You don't want your morphine now? I said, no, the epidural's taking care of any pain. I said, but I'm starving. It's Newtown. And he sent the poor intern across the street to the French restaurant and got me, um, rainbow trout and vegetables that were to die for cme brulee for dessert and bread, French bread silverware served on China. Then the poor intern had to take it back and stafford off and pay for it, which was nice of it. He quit smoking long ago. But I was still smoking. And I'd go into his office and the first thing he would do, I never had an appointment. I had three dogs with me. I'd come down from New York when I was pregnant with Kathy, take the dogs in with me, and they would get under the desk, the secretary's desk and never move.  
Speaker 2    01:48:19    And I'd go in and after the appointment, stagger would, um, take out the ashtray out of his drawer and put there, and he said, go ahead and smoke <laugh>. So he spoiled me. He came out here and practiced for my dad one time when my dad went to the hospital, he had something wrong and, uh, had have surgery. He used to ride horses for Steve Clark. My dad did. He showed him at Glenwood. Anyway, uh, uh, I gotta say, oh, Staber came out to take over the practice for him while he was in the hospital. And he, poor one poor soul came in, had cancer, and he had to go to Winchester to have surgery. And he had to have a colostomy bag. So when my dad got back, the man was sitting on the steps with a shotgun across his lap. And his dad said, oh man, so and so, what are you doing? He said, I'm waiting for that GED doctor, friend of yours to come back. I'm gonna shoot it his ass. Because he had to have surgery, of course. Never happened. <laugh>. But there was Now was was your, there's some characters around here. Was  
Speaker 1    01:49:46    Your father from here? Is that why he was  
Speaker 2    01:49:49    Practicing here? Actually, he was from Aldi. He was, yeah. He had, um, five brothers. The first one was shot in a poker game in Leesburg. The second one, uh, married an older woman who was his school teacher. And he committed suicide. Eventually he was bad, bad, bad, bad. He was not faithful to his wife. Uh, then Bunny, the youngest Clint, lived in Aldi, lived in Ridgeview to begin with, and then he didn't want his boys to get in trouble. So he moved, bought a farm in, um, below Haling on the way to Leesburg on Watson Road. Mm-hmm <affirmative>. And, uh, to raise them there. And one of 'em, um, still, well, Liz, both of 'em still live there. One built an apartment over the barn and he, uh, builds race cars and reconditions race cars that race, you know, around local tracks and stuff and other outside of the state. And the, when as historian, he, um, he was a, went to Wakeville and he, uh, documents cemeteries and roads and maps and things around here. Mm-hmm <affirmative>. And  
Speaker 1    01:51:21    His, his last name Young  
Speaker 2    01:51:22    Saer Saer. S-A-F-F-E-R.  
Speaker 1    01:51:25    I'm getting you all mixed up. I'm  
Speaker 2    01:51:27    Sorry. Yeah. So I see him now and again, call him every now and then to check on him. N neither one of 'em ever met her.  
Speaker 1    01:51:39    So did your dad practice here? Um, immediate, initially, yes,  
Speaker 2    01:51:44    He did. He had an office downstairs in the basement. And also he practiced at the health center. Mm-hmm <affirmative>. And that's it. Mm-hmm <affirmative>. Anything else? Oh, the house on the corner, the White House. Mm-hmm <affirmative>. Um, the Adams family lived there and they had a son who had, um, polio, was completely paralyzed, couldn't speak, couldn't do anything. And my father would take me down to visit with Billy. And, uh, Ms. Adams would roll me out, roll him out, and, um, on the patio. And we'd visit. I'd talk to him as if he could talk and hear me, but I'm not sure he could. Uh, he died. They both died before he did. And they put him in an assisted living and then he died. Mm-hmm <affirmative>. He did not very well there.  
Speaker 1    01:52:44    Why was your brother called Duck?  
Speaker 2    01:52:46    Because he was very much like my father. Um, then next was the Montague house where the grassy lived. And the grassy originally lived here. Mm-hmm <affirmative>. Before my father bought the place. And the house was riddled with rats and mice. And, uh, we had to nail up the vents in the floor and we had to, uh, cover the radiators and we just had to deep funk the house. Right, right. Um,  
Speaker 1    01:53:25    And how, how old were you when your family moved over here?  
Speaker 2    01:53:29    I think about four, five, somewhere there.  
Speaker 1    01:53:31    So you have good memories of  
Speaker 2    01:53:33    Over there too? Oh, yeah, yeah, yeah. Yeah. Mm-hmm <affirmative>.  
Speaker 1    01:53:36    And was this then, was this house and behind the yard be behind? Behind?  
Speaker 2    01:53:43    Yes. There was a yard behind. Mm-hmm <affirmative>. And then there was a barn and we had a cook named Lucille who lived in the apartment on the edge of the barn. Mm-hmm <affirmative>. Then we had a Launders who was Lucille's mother named Fleecy, but she lived at St. Louis. Mm-hmm <affirmative>. Felicia couldn't read. She'd never been to school. And I'd hand her a cookbook and say, Felicia, will you make me this? And she'd hold the book upside down and she'd say, mm. I think she'd said, we can get all the ingredients. I can do this. I was so mean. We always had iced tea and we made sugar mint water, which you kept in the refrigerator. Uhhuh <affirmative> was so good.  
Speaker 1    01:54:22    So good. Mm-hmm <affirmative>.  
Speaker 2    01:54:23    And made homemade ice cream during, during ice cream. Made our own butter. Wasn't much. We didn't do. Mm-hmm <affirmative>.  
Speaker 1    01:54:31    Was, um, did a lot of people from here go off to the war?  
Speaker 2    01:54:36    Yeah. And my mother was a flower show judge. Really? And she was a wonderful, she did wonderful arrangements and she won lots of prizes. And she became National President of the National Federation of Garden Gloves. And they used to have shows here in the house in these two rooms. And often one junior championship for arrangements. I did. And I used to do dollar scenes, do little arrangements on the mantle, and, uh, little arrange make little miniature Reese and things.  
Speaker 1    01:55:21    What was your mother's maiden name?  
Speaker 2    01:55:24    Gresham.  
Speaker 1    01:55:25    Gresham. With an E? Yeah.  
Speaker 2    01:55:27    Gresham. No, wait a minute. G-R-E-S-H-A-M. Yes.  
Speaker 1    01:55:32    And where did she grow up?  
