People       LS,TAYLOR
Title        Interviewed 3/7/20<br>by Lydia Strohl <https://middleburgmuseum.org/wp-content/uploads/2025/03/HeatherTaylor-scaled.jpg>
Speaker 1    01:06:00    Oh goodness. I think the town is probably the biggest thing that's changed for me. Mm-hmm <affirmative>. The Safeway hasn't. And, um, it's got better things in it now. But I just have a friend that went to Whole Foods once a week and did all her shopping. But she was like an expert cook. Right. Christine. Christine was wonderful, but she, she died. Yeah. Um, but, um, yeah, that's, that's it. And then Salamander, um, I never, I just forget it's there kind of. I never go there. Mm-hmm <affirmative>. Um, I probably should. But it, it seems to me like it's a big country club. And so I, I think that's a big change in Middleburg to see that over there. When you go down Fox Grove Road and you're like, oh God, I forgot that was in there. It's huge. And all the lights at night and everything. So that's, that's changed.  
Speaker 1    01:06:51    So for me, I think, um, but I'm the old guard as somebody at the tennis club said, all the old guard is complaining <laugh> about the cook leaving. Right. He was so good. And he cooked all these wonderful cramp cakes. But, um, anyway, I got blamed. We got blamed for that. 'cause we were complaining. But I, I think I loved the old town the way it was, but it's, it's because that's the way it was. Mm-hmm <affirmative>. Yeah. And I think now it's, sometimes you, it's a bit of a tourist trap. You know, a lot of stores that, you know, you don't really need. Um, and you know, it's fine if they, you know, they have their business, but it's just lost at the Oyster bar now. That really good. <laugh>.  
Speaker 0    01:07:34    Yeah. <laugh>. So sometimes the good stuff  
Speaker 1    01:07:37    Fill in. Oh yeah, I know the good stuff. And that really was a big change. Mm-hmm <affirmative>. Wonderful. And then sad, sadly the French hound left. That was too bad. Very sad. I blame that Phil Thomas for that. I knew. I know him. I know him, but he <laugh> he got raised their rent and they're such a wonderful couple.  
Speaker 0    01:07:57    Well, I think that's happened in a lot of way in Middleburg. Yeah. That the people get a little greedy and, and  
Speaker 1    01:08:04    Then, yeah. Well, let's see. They think all these tourists are coming and every weekend and it's wonderful. Maybe we can get more money. Um, and, you know, if I had a business, I'd want more money too, I suppose, but, but it's, it's too bad.  
Speaker 0    01:08:20    But it's hard for the small business owners to Yeah.  
Speaker 1    01:08:23    Make end. Yeah. That couple, they, you know, he was cooking and she was out, Marnie was out in the front and, you know, they couldn't do it. And then they moved over to Leesburg or wherever it landsdown. We went there a few times, but it was a big place. Did you ever go there? No. It was a bigger place. That, that was a bad idea anyway.  
Speaker 0    01:08:42    No, they've closed that now too. Mm-hmm <affirmative>.  
Speaker 1    01:08:44    Yeah. I just wonder where they are.  
Speaker 0    01:08:47    Well, I don't know. I, it was funny because I was looking for some outdoor furniture and I saw something on eBay, you know, online. Mm-hmm <affirmative>. And I wrote a note and it was Marni.  
Speaker 1    01:09:01    Oh goodness. Well, it must have been there. Maybe the furniture that they had outside. Right. Oh, well, her daughter was over in school at, um, oh dear. Oh, I can't remember the name. Banneker. She was at, I think she was at Banneker. Is she  
Speaker 0    01:09:21    That old already?  
Speaker 1    01:09:21    Little daughter? Yeah.  
Speaker 0    01:09:23    I remember when she was born.  
Speaker 1    01:09:25    I think. So either that, that was um, she's there or they were living near there.  
Speaker 0    01:09:31    I think they're living in Middleburg on Route 50.  
Speaker 1    01:09:35    Okay. Um, oh,  
Speaker 0    01:09:36    Out towards when you go to st. Towards St. Louis.  
Speaker 1    01:09:41    St. Louis. Yeah. That's what I gather. Well, maybe that's where I got the ker thing from. Yeah. 'cause she was talking, last time we were there. She said, oh, we love the area. Then somebody said that they thought she had gone to, that they were gonna go back to Tennessee where she was from or something. I bet. Mm-hmm <affirmative>. That was just probably a rumor. Yeah. Everybody liked them so much. <laugh>. They were,  
Speaker 0    01:10:04    Everybody has an opinion. Yeah.  
Speaker 1    01:10:07    Has an opinion about what's gonna happen. Right. I just wish they'd open a restaurant.  
Speaker 0    01:10:10    Yeah, me too. But I miss those french fries.  
Speaker 1    01:10:14    Yeah. French food, steak, fruits. <laugh>. We love going down there. And Olivia, that's where we used to go on our, our grandmother granddaughter dinner. Mm-hmm <affirmative>. Go down there. And she loved that. So I say, well, I found Claire's in Warrenton. It's sort of like that <laugh> Yeah. Is good. We have good food there. So Jimmy sick me for my birthday. He took us to, um, all of us. We went over, I've,  
Speaker 0    01:10:39    We had a  
Speaker 1    01:10:40    Wonderful, so nice  
Speaker 0    01:10:41    AMIA's like I never been there. It's my new favorite place.  
Speaker 1    01:10:44    I know. Well, the food's so good.  
Speaker 0    01:10:46    Yeah. It forget about it. We used to go there a lot, you know. Yeah. For dates before kids. But  
Speaker 1    01:10:51    Yeah, now we don't. Was that the depot then? Mm-hmm <affirmative>. Yeah. That's 'cause we went there the depot too, a long time ago. 'cause we have friends in Hanock and they always wanted meet for lunch there. And that's, we've had lunch, but I've never been there at supper in a long time. So that was good. Yeah. But, and the food came just quick, you know? And delicious. Yeah.  
Speaker 0    01:11:11    So  
Speaker 1    01:11:12    Pretty good too. We go back again. <laugh>.  
Speaker 0    01:11:14    Yeah. It's nice. It's  
Speaker 1    01:11:15    Nice. Yeah. We thought we liked the back room too. Better than the front.  
Speaker 0    01:11:18    Yeah. I like that too. Front  
Speaker 1    01:11:19    Was too,  
Speaker 0    01:11:20    Too much fun. We went to the tennis club for dinner last night.  
Speaker 1    01:11:22    You did? Was that good? Sort of. Yeah. I don't know. It's  
Speaker 0    01:11:27    Come around a lot since the beginning.  
Speaker 1    01:11:30    Yeah. I'll  
Speaker 0    01:11:31    Say  
Speaker 1    01:11:32    That's maybe he's getting better. Yeah. It's not like it used to be. <laugh>, the old guard says that's problem. Well,  
Speaker 0    01:11:42    That's so cute. It's nice to be able to go out and get something that isn't so fancy. You know, you would make it home, but you just don't have to make it. That's right. Up. But you don't want so fancy all the time. No,  
Speaker 1    01:11:54    No. Well I know that they had that advertised for that dinner, special dinner. Then my husband said, that's $150.  
Speaker 0    01:12:01    $50 <laugh>. I know. Our friends were like, you wanna go? I'm like,  
Speaker 1    01:12:04    No, that's too much. And the lobster dinner is too much too. And the lobster's too big. So all of us, I think the old guard all needs to get together and meet with the chef <laugh> and say, here you, you have a smaller lobster.  
Speaker 0    01:12:18    Right.  
Speaker 1    01:12:18    Have dinners that aren't so expensive. 'cause that's what we're on. We're on an old fogy membership where you pay you, you're not, you don't use the tennis courts and you can, that's about it. You can use the pool.  
Speaker 0    01:12:30    Right.  
Speaker 1    01:12:31    But  
Speaker 0    01:12:32    Social  
Speaker 1    01:12:32    Membership. Social membership. Yeah. So  
Speaker 0    01:12:34    They don't really call it an old fogey membership.  
Speaker 1    01:12:37    Well, I do <laugh>, they wouldn't wanna do that, our feelings. But we, because we had resigned because we kept going to England and we're back and forth and we just weren't using it. Mm-hmm <affirmative>. And I wasn't playing tennis. 'cause my blasted knee, um, is gonna have to be replaced. I don't, I don't look forward to that. But that kept us from, um, we reside and then when they came out with the social membership, we thought, oh, I think we'll do that. Right.  
Speaker 0    01:13:04    'cause you're so close right here. Yeah.  
Speaker 1    01:13:06    It's right there. Mm-hmm <affirmative>. It's our kitchen. Practically.  
Speaker 0    01:13:08    Did you play tennis? Yeah.  
Speaker 1    01:13:09    There. Yeah. I wasn't good. I mean like Kelsey or anything like that. But I enjoyed playing tennis. But all my old tennis buddies are retired. Yeah. <laugh>, nobody.  
Speaker 0    01:13:18    Who was your group of tennis? It was,  
Speaker 1    01:13:21    There was, um, Helen Ann McCandless. That's a long time ago. Just, um, anybody that, um, wasn't a very good player. Think we played with them, enjoyed ourself that, um, and, but there were some good players and old and uh, and McLeod used to have one week every week with Nanette White. Mm-hmm <affirmative>. Um, who's died and, and uh, who else was in that group? Anne and Nanette. Oh, Mary Scott. She's died too. But Ann has outlived everybody. Mm-hmm <affirmative>. You know, she's, she's something. But I guess she's sort of, she said I'm still, I still play in the Calcutta <laugh>, but I don't know. I think she had to play 'cause somebody else was sick  
Speaker 0    01:14:04    Or something. Somebody dropped out. I know. Yeah. She had actually taken herself out of the  
Speaker 1    01:14:08    Calcutta. Yeah. Which was good. 'cause she, she shouldn't be doing that. <laugh>. She's an old lady. Anyway. She's another lovely person from around here. Yeah.  
Speaker 0    01:14:18    She's  
Speaker 1    01:14:18    Great. But I think her, I think Mayo would be better. Oh, these stinkbug up there.  
Speaker 0    01:14:24    Oh, the Stinkbugs  
Speaker 1    01:14:25    Hate those things. They get on the edge of the um, oh,  
Speaker 0    01:14:28    You have doves? We have a lot of doves at our house.  
Speaker 1    01:14:30    Oh, I know.  
Speaker 0    01:14:32    At our old house. Not so many at our new house that I've seen.  
Speaker 1    01:14:36    Yeah. I wonder what out in the field there. It's not as many, not many roosting spots. Right. Like you said, that's one tree. I guess that's,  
Speaker 0    01:14:45    You know, in the easement to that, there's, it says that they're gonna put in trails for public birdwatching.  
Speaker 1    01:14:54    Oh, really? Now who owns that  
Speaker 0    01:14:56    Old, uh, Catherine Mellon Conover. Oh,  
Speaker 1    01:14:59    Con. Okay. I noticed she left the, the, um, field grow up. And so it's just that, you know, a lot of habitat in there. Mm-hmm <affirmative>. But, um, how old is she though? Is she an old lady? She was older than me. Wow. I don't know her at all. I never  
Speaker 0    01:15:16    Ever met her. I think she was she the,  
Speaker 1    01:15:18    Is she their, their kid? I mean she, Mrs. Me's daughter or not? I don't know.  
Speaker 0    01:15:26    I don't know. He had another,  
Speaker 1    01:15:28    He was married be to Mary Con or me or whoever the person. And then married Bunny. And then Bunny was married also to somebody else. But they wouldn't have that melon name, right?  
Speaker 0    01:15:40    No.  
Speaker 1    01:15:40    That must have been his child from someone. But she's gotta be pretty old. 'cause he was, you know, he's old. And what was the, um, I can't remember the name of, uh, her husband Bunny. 'cause there was a person that lived around here. The son. Mm-hmm <affirmative>. Lived in Lloyd.  
Speaker 0    01:15:57    Stacy. Lloyd  
Speaker 1    01:15:58    Del or something.  
Speaker 0    01:15:59    Stacy. Lloyd.  
Speaker 1    01:16:00    Lloyd, that's right. Yeah. Doctor, you're good on the, who's rats here? You'll be good to it. God, for the museum. <laugh>.  
Speaker 0    01:16:07    Well that's,  
Speaker 1    01:16:08    I've forgotten. That's what you do when you get older. You forget names and it's Frustrat. That's  
Speaker 0    01:16:12    Mostly so frustrating just from knowing. So I have a friend, um, who helped. He does, he plans big parties. He helped me plan the Windy Hill Gala. Oh,  
Speaker 1    01:16:23    I see. Oh, that's  
Speaker 0    01:16:24    Good. And so he also helped Stacy plan his 80th birthday party.  
Speaker 1    01:16:28    Oh. So he's my age then.  
Speaker 0    01:16:30    And, well, he died a few years ago.  
Speaker 1    01:16:32    Oh, he, oh, did I did  
Speaker 0    01:16:33    From planning this elaborate party. They got to be really good friends. Oh,  
Speaker 1    01:16:38    I see. <laugh>. So,  
Speaker 0    01:16:39    So he, he got, so that's how I remember his name. Yeah. Because he was a good,  
Speaker 1    01:16:44    So you did a good job of the Wind Hill Gho. Well, best it does.  
Speaker 0    01:16:48    Fun.  
Speaker 1    01:16:49    Was that at Salamander? Mm-hmm <affirmative>. Yeah, that's right.  
Speaker 0    01:16:52    Yeah. That's at Salamander. But I don't know about this year's. Every year we go through a different  
Speaker 1    01:16:57    Well did, yeah. The Gallup was something different. There was a fashion show that  
Speaker 0    01:17:02    I remember right. There used to be a fashion show.  
Speaker 1    01:17:04    Yeah, that's what, and one year it was in that at Sheila's barn.  
Speaker 0    01:17:10    I remember that. Yeah.  
Speaker 1    01:17:11    That was at that. And then another time at that other barn over across the road. Where's that? The one down toward the plains. Mm-hmm <affirmative>. That was amazing. Um, and that's when they had people from town get up and model. Right. Like the guy from the pizza place and <laugh>. Yeah. It was a lot of fun. I liked that. 'cause that was kind  
Speaker 0    01:17:32    Of, that was a real small town kind of thing.  
Speaker 1    01:17:35    More a small town. But these absolutely elaborate places. <laugh>. Right. You know,  
Speaker 0    01:17:39    And they would have local people model, which was mm-hmm  
Speaker 1    01:17:41    <affirmative>. Yeah. I think Kelsey modeled and that one over there. Yeah, she did. But this is just a, a dance and a dinner. Is it  
Speaker 0    01:17:49    At all? Yes. They weren't making as much money, I think from the fashion show.  
Speaker 1    01:17:52    No, probably not. Oh, they must make a lot from this. 'cause the price is high. 'cause I know I saw that and I'm like, Nope. <laugh>, I won't be able to hear. Anyway. So that's made the main reason. So, but it looked like a lot of fun. And Gloria and Howard went,  
Speaker 0    01:18:07    Well we got them to be the chair last year.  
Speaker 1    01:18:09    <laugh>. They had a good, they had a good run at it. They were being it thing. I know  
Speaker 0    01:18:14    <laugh>. They were really fun to have. They're  
Speaker 1    01:18:16    So nice.  
Speaker 0    01:18:17    Really fun to have. Yeah. Yeah. You're right. I need to sit down with them when they get back. Goodness. They enjoy their time down. Yeah. How often do you go to England?  
Speaker 1    01:18:26    Well, we did go, um, about, about three times a year. And then we were going for Christmas this year. And then my husband got this brain thing. Um, he's fine. But, uh, it's what a worry. Yeah. And so we obviously couldn't go 'cause we were planning to go and then they said they'd have to do the surgery sooner rather than later. So they, we had to get in and it didn't happen until the end of January, but they were doing testing and stuff like that right before that. So, so that was good. But we hoped to go. But then now we've got the coronavirus, the virus Coronavirus. Right.  
Speaker 1    01:19:05    I don't know. British Airways had two or three people that got sick yesterday with a virus. It's just gonna spread. Yeah. So I think we're gonna be stuck here. Not that we're stuck, but I don't think we're, and as he said, we don't have to go over everybody's all right. Right. And our house, luckily we had moved a couple years ago to a over 55 little place in our same village. But somebody had done bless them that you, you know, just like two up, two down. The really nice little place was a patio in the back, townhouse sections. And so now we don't have to worry luckily mm-hmm <affirmative>. 'cause we would be up a creek <laugh>  
Speaker 0    01:19:47    If you had to take care of something from so far away  
Speaker 1    01:19:49    Without being able to go No, we, we did it, but we were younger and you know, it just worked out. And then someone, uh, we decided we'd move and someone wanted to borrow a house. So it just was easy, you know, but otherwise we'd be sitting here <laugh>. Right. Panicking, you know. But they take care of everything. So don't  
Speaker 0    01:20:09    To worry. That's what you need here in  
Speaker 1    01:20:11    <crosstalk>. Yeah, I know. But that's why I, so, you know, uh, as a, I wanted them to do something here and I still do, so have to talk to Bridge.  
Speaker 0    01:20:21    Maybe a smaller scale would  
Speaker 1    01:20:23    Yeah. If they said like on that same property, like 50 rooms, uh, you know, but it needs to be that big. It can't be 20, not enough. Right.  
Speaker 0    01:20:36    But, um, well also then you don't have the scale to have the programming and the, and the kind of help that you need, you know? No, I know. You need to have some scale. That would seem to me just to have, um, have it make sense for someone to run it.  
Speaker 1    01:20:51    Yeah. I know. I don't know who that, I went to the meeting at town meeting and all, but I don't know who it was. And of course, the fellow that owns the property's that Blackwater guy, and he's not popular of course. Mm-hmm <affirmative>. He's like, got a bad reputation, but, um, and it, they don't want it there. Now we have Nelson Gunnel at the edge of town, so that's gonna be another problem. Right. But I can't, they can't stop 'em all. But I wish I could let that some kind of a, what they need is what we were in in England over 55. You know, that little townhouse thing would be just perfect. Mm-hmm <affirmative>. But that's not gonna solve per a person's health problems for the long run. But at least it something for you. Right. Unless everybody I know wants to move into somewhere.  
Speaker 0    01:21:38    Well, wasn't Sheila gonna build some at the salamander?  
Speaker 1    01:21:41    She was, but I've heard a thing about it since. We need to, we need to find out about that. Mm-hmm <affirmative>.  
Speaker 0    01:21:47    You know, because that would be good if you and all your friends could live there. Well,  
Speaker 1    01:21:51    Exactly. <laugh>, it'd be perfect. Perfect for  
Speaker 0    01:21:54    Her. Them do your laundry and Yeah. So  
Speaker 1    01:21:58    Be very nice. Very nice. Even a small, just a small place you like, you know what we have, we have our laundry and machines over there. Mm-hmm <affirmative>. In England. It's things are tight <laugh>. Right. But we had to get a washing machine that is also a dryer. I know you have one of them. No,  
Speaker 0    01:22:18    But I grew up in England, so.  
Speaker 1    01:22:20    Oh, you did? Well, where did you  
Speaker 0    01:22:22    Grow up? In London.  
Speaker 1    01:22:23    That is amazing. Let's see. You know this, we are near Oxford. Yeah. So we're in a little village.  
Speaker 0    01:22:29    Yeah. S you told me where you are. That's a great, oh, it's so NICE's a great location.  
Speaker 1    01:22:33    We love it. Yeah.  
Speaker 0    01:22:34    No, we, that's, we sold our flat when we moved on, so Yeah. Which is too bad. I would love, but it was bigger and would've been hard to take care of from afar.  
Speaker 1    01:22:42    So Yeah. It would be.  
Speaker 0    01:22:44    Yeah. Now we're sorry because, you know, real estate's so much there now. It would've been,  
Speaker 1    01:22:49    Oh God. Yeah. We'll  
Speaker 0    01:22:50    Never get back there now. Oh,  
Speaker 1    01:22:52    To, well, that's the thing. Especially with, um, with, uh, I think I'm losing my voice, um, uh, selling that house, I mean, what we got for it. Right. A tiny, tiny house. Unbelievable. And it even had a place next door, which was the house was, I can't tell you, probably could probably reach from one to the other. And then <laugh> a little lane. And someone was, um, trying to get the house next door, which was in kind of bad shape. Um, the people had moved out and nobody in it. And they'd rented it. And then they were trying to, um, uh, get permission to build two houses there. They know. Right. Right there. And this part older lady that lived sort of on the other street, but the back, their back faced it would've been like to their, well, they didn't get the permission, but we were selling ours at the same time. And we thought, we'll never sell if they see this, you  
Speaker 0    01:23:52    Know? Right. <laugh>.  
Speaker 1    01:23:54    Oh, anyway, it did. But there's always something moving around. But real estate is terrible in England. We Yeah. You don't wanna buy.  
Speaker 0    01:24:04    It is terrible. I'm always looking for something. But it's, it's hard.  
Speaker 1    01:24:09    We, I know there was something with a million pounds, one of the homes in Dorchester that was just awful. I mean, it is not big either, but just because it's, you know, 15 minutes from Oxford. Right. And on the road to London and next to the railroad, you know, station is not far away. Yeah. It's a lot. So anyway, keep you <laugh>.  
Speaker 0    01:24:32    Well, when we sold our house in Georgetown, because it was between two, the two Cobbles Stone Streets where there used to be trolleys. Oh yeah. But they said, oh, they're gonna tear the, the trolley streets up and then relay them. And we thought, oh, well, we'll be stuck. So we put our house on the market and sold it right away.  
Speaker 1    01:24:52    Oh good.  
Speaker 0    01:24:52    And of course then they didn't do the project for another five, 10 years.  
Speaker 1    01:24:57    Probably not  
Speaker 0    01:24:57    <laugh>. And now we're just keep looking for a house. But we can't, you know, we haven't found  
Speaker 1    01:25:03    No, yeah,  
Speaker 0    01:25:04    We haven't found one, but we're renting a house is fine. But that's  
Speaker 1    01:25:07    Good. I love Georgetown though. That's where we always had, we're all, we're gonna move. And that's  
Speaker 0    01:25:11    Funny. Me and my college roommates we're the same way. We Oh, we're all gonna go live together in Washington  
Speaker 1    01:25:16    And Yeah. Wouldn't that be fun? Yeah. And then we, the trolleys, were still running, uh, on W Comp Uhhuh <affirmative>. Oh, amazing. Lovely <laugh>. That is a great spot. That's, is it still, is it still like a teenage hangout down there? Yeah, I've been there. We sometimes we'd go in and have like a, a weekend we spend at the Georgetown Inn. Mm-hmm <affirmative>. At a get a good spot. It'd go to, um, uh, the theater or concert, whatever. Right. Museums have fun. Just have a weekend. Right.  
Speaker 0    01:25:48    But,  
Speaker 1    01:25:48    Um, but so I, but I haven't seen a lot of action down there. I suppose they're going during the week, not happening a Saturday night. Right. Because I know my daughter, she, she would go down there anytime they could get a ride that somebody drove <laugh>, they'd end up  
Speaker 0    01:26:02    Being down there. The kids went down. Oh yeah. From here. A lot. Yeah. Well, thank you so much for giving me so much of your Saturday. You're welcome. I'm sorry I haven't given you anything to eat or anything. Oh no, it's fine. Drinking your I ate everywhere. <laugh> I'll, well, who else would you have to, to talk with? Um, I today? Maybe not. 
